"r","L_centered","L_lo","L_hi","Label","Modality"
464.646464646465,1267.404428688,-2.90965953148128,3.62609167186082,"Bx2","Protein (CD3+)"
474.747474747475,1273.60146890814,-3.17864516556818,3.85291078672458,"Bx2","Protein (CD3+)"
484.848484848485,1278.95296645331,-3.13582088644506,3.81054726577867,"Bx2","Protein (CD3+)"
494.949494949495,1283.70178484685,-3.04662254181551,3.87435994436328,"Bx2","Protein (CD3+)"
505.050505050505,1287.52627112312,-3.45063789423006,4.30041345044151,"Bx2","Protein (CD3+)"
515.151515151515,1290.826914619,-3.01161650623317,4.27437334836225,"Bx2","Protein (CD3+)"
525.252525252525,1293.73062336222,-3.30882843101529,4.01372107834618,"Bx2","Protein (CD3+)"
535.353535353535,1296.17806214209,-3.52443121906038,3.90454951843014,"Bx2","Protein (CD3+)"
545.454545454545,1298.2296298158,-3.62767766322725,4.1249449380017,"Bx2","Protein (CD3+)"
555.555555555556,1299.62428292788,-3.83165480916387,4.02325261694943,"Bx2","Protein (CD3+)"
565.656565656566,1300.99494575841,-3.68143358270913,4.31476603945305,"Bx2","Protein (CD3+)"
575.757575757576,1301.81027589264,-3.40856001821862,4.05193372194117,"Bx2","Protein (CD3+)"
585.858585858586,1302.40308343571,-3.47793525001089,3.72003277887995,"Bx2","Protein (CD3+)"
595.959595959596,1302.99650993321,-3.21150363563299,3.92057446414663,"Bx2","Protein (CD3+)"
606.060606060606,1303.33183709588,-3.05492151842304,3.84478818330376,"Bx2","Protein (CD3+)"
616.161616161616,1302.90558048887,-3.03791598711689,3.577919609525,"Bx2","Protein (CD3+)"
626.262626262626,1301.97609168932,-3.00143711837586,3.65765510846006,"Bx2","Protein (CD3+)"
636.363636363636,1300.84355174289,-3.02177307048726,3.50810559836623,"Bx2","Protein (CD3+)"
646.464646464646,1299.34660892489,-3.05823479689093,3.52860254994357,"Bx2","Protein (CD3+)"
656.565656565656,1297.73002376217,-3.24683651214423,3.77001396651292,"Bx2","Protein (CD3+)"
666.666666666667,1296.66481060773,-3.0926122937725,3.69032074980396,"Bx2","Protein (CD3+)"
676.767676767677,1295.86793137871,-2.92637194881365,3.2079546163859,"Bx2","Protein (CD3+)"
686.868686868687,1294.73473973795,-3.09646566133085,3.27583500800074,"Bx2","Protein (CD3+)"
696.969696969697,1293.86169134955,-3.09981069285061,3.31847182011734,"Bx2","Protein (CD3+)"
707.070707070707,1293.84301569744,-3.21600289102525,3.33600939430573,"Bx2","Protein (CD3+)"
717.171717171717,1294.16002200206,-3.28616182762198,3.61915470215365,"Bx2","Protein (CD3+)"
727.272727272727,1294.5196094887,-3.67862146491996,3.72020448508272,"Bx2","Protein (CD3+)"
737.373737373737,1295.0569904681,-3.57053193883166,4.12007326695709,"Bx2","Protein (CD3+)"
747.474747474747,1295.85623827314,-3.44464812651324,3.97130500913204,"Bx2","Protein (CD3+)"
757.575757575758,1296.44576819658,-3.50459920626997,3.78476565989149,"Bx2","Protein (CD3+)"
767.676767676768,1296.87876931503,-3.48580274768676,3.60571171385322,"Bx2","Protein (CD3+)"
777.777777777778,1297.6294024719,-3.43674383555651,3.62625102451591,"Bx2","Protein (CD3+)"
787.878787878788,1298.25441857756,-3.32194593557676,3.55819828259291,"Bx2","Protein (CD3+)"
797.979797979798,1298.82186000863,-3.50143072227422,3.63736075939823,"Bx2","Protein (CD3+)"
808.080808080808,1299.42065264619,-3.75937306632454,3.72140165416363,"Bx2","Protein (CD3+)"
818.181818181818,1300.35738688888,-3.96827563060333,3.77957052098986,"Bx2","Protein (CD3+)"
828.282828282828,1300.92569871501,-3.80133068864654,3.73919053021928,"Bx2","Protein (CD3+)"
838.383838383838,1301.59404280908,-4.167022844082,3.54707073851898,"Bx2","Protein (CD3+)"
848.484848484848,1301.83952117978,-4.06515831850174,3.69681249229438,"Bx2","Protein (CD3+)"
